uuid;commonMetaData.name;commonMetaData.description;commonMetaData.shortName;yearsFrom;yearsTo
e1a2458e-68e0-11ee-9d1c-d8bbc19bcc5c;0 bis 2 Jahre;Alter bis vor Vollendung des 3. Lebensjahres;0-2;0;2
e1a268c0-68e0-11ee-9d1c-d8bbc19bcc5c;3 bis 17 Jahre;Alter von der Vollendung des 3. bis vor Vollendung des 18. Lebensjahres;3-17;3;17
e1a28602-68e0-11ee-9d1c-d8bbc19bcc5c;18 bis 44 Jahre;Alter von der Vollendung des 18. bis vor Vollendung des 45. Lebensjahres;18-44;18;44
e1a2a268-68e0-11ee-9d1c-d8bbc19bcc5c;45 bis 59 Jahre;Alter von der Vollendung des 45. bis vor Vollendung des 60. Lebensjahres;45-59;45;59
e1a2bf3c-68e0-11ee-9d1c-d8bbc19bcc5c;60 bis 64 Jahre;Alter von der Vollendung des 60. bis vor Vollendung des 65. Lebensjahres;60-64;60;64
e1a2db3e-68e0-11ee-9d1c-d8bbc19bcc5c;65 bis 69 Jahre;Alter von der Vollendung des 65. bis vor Vollendung des 70. Lebensjahres;65-69;65;69
e1a2f7ae-68e0-11ee-9d1c-d8bbc19bcc5c;70 bis 74 Jahre;Alter von der Vollendung des 70. bis vor Vollendung des 75. Lebensjahres;70-74;70;74
e1a313ba-68e0-11ee-9d1c-d8bbc19bcc5c;75 bis 79 Jahre;Alter von der Vollendung des 75. bis vor Vollendung des 80. Lebensjahres;75-79;75;79
e1a32fda-68e0-11ee-9d1c-d8bbc19bcc5c;80 bis 84 Jahre;Alter von der Vollendung des 80. bis vor Vollendung des 85. Lebensjahres;80-84;80;84
e1a34bdc-68e0-11ee-9d1c-d8bbc19bcc5c;85 bis 89 Jahre;Alter von der Vollendung des 85. bis vor Vollendung des 90. Lebensjahres;85-89;85;89
e1a367d4-68e0-11ee-9d1c-d8bbc19bcc5c;ab 90 Jahre;Alter ab der Vollendung des 90. Lebensjahres;>=90;90;135
