uuid;commonMetaData.name;commonMetaData.description;commonMetaData.shortName;yearsFrom;yearsTo
e191909a-68e0-11ee-9d1c-d8bbc19bcc5c;0 Jahre;Alter von der Geburt bis vor Vollendung des 1. Lebensjahres;0;0;0
e191acec-68e0-11ee-9d1c-d8bbc19bcc5c;1 Jahre;Alter von der Vollendung des 1. bis vor Vollendung des 2. Lebensjahres;1;1;1
e191c8f8-68e0-11ee-9d1c-d8bbc19bcc5c;2 Jahre;Alter von der Vollendung des 2. bis vor Vollendung des 3. Lebensjahres;2;2;2
e191e572-68e0-11ee-9d1c-d8bbc19bcc5c;3 Jahre;Alter von der Vollendung des 3. bis vor Vollendung des 4. Lebensjahres;3;3;3
e19201a6-68e0-11ee-9d1c-d8bbc19bcc5c;4 Jahre;Alter von der Vollendung des 4. bis vor Vollendung des 5. Lebensjahres;4;4;4
e1921d9e-68e0-11ee-9d1c-d8bbc19bcc5c;5 Jahre;Alter von der Vollendung des 5. bis vor Vollendung des 6. Lebensjahres;5;5;5
e19239c8-68e0-11ee-9d1c-d8bbc19bcc5c;6 Jahre;Alter von der Vollendung des 6. bis vor Vollendung des 7. Lebensjahres;6;6;6
e19257aa-68e0-11ee-9d1c-d8bbc19bcc5c;7 Jahre;Alter von der Vollendung des 7. bis vor Vollendung des 8. Lebensjahres;7;7;7
e192742e-68e0-11ee-9d1c-d8bbc19bcc5c;8 Jahre;Alter von der Vollendung des 8. bis vor Vollendung des 9. Lebensjahres;8;8;8
e192903a-68e0-11ee-9d1c-d8bbc19bcc5c;9 Jahre;Alter von der Vollendung des 9. bis vor Vollendung des 10. Lebensjahres;9;9;9
e192ac1e-68e0-11ee-9d1c-d8bbc19bcc5c;10 Jahre;Alter von der Vollendung des 10. bis vor Vollendung des 11. Lebensjahres;10;10;10
e192c80c-68e0-11ee-9d1c-d8bbc19bcc5c;11 Jahre;Alter von der Vollendung des 11. bis vor Vollendung des 12. Lebensjahres;11;11;11
e192e42c-68e0-11ee-9d1c-d8bbc19bcc5c;12 Jahre;Alter von der Vollendung des 12. bis vor Vollendung des 13. Lebensjahres;12;12;12
e1930092-68e0-11ee-9d1c-d8bbc19bcc5c;13 Jahre;Alter von der Vollendung des 13. bis vor Vollendung des 14. Lebensjahres;13;13;13
e1931d20-68e0-11ee-9d1c-d8bbc19bcc5c;14 Jahre;Alter von der Vollendung des 14. bis vor Vollendung des 15. Lebensjahres;14;14;14
e193394a-68e0-11ee-9d1c-d8bbc19bcc5c;15 Jahre;Alter von der Vollendung des 15. bis vor Vollendung des 16. Lebensjahres;15;15;15
e1935542-68e0-11ee-9d1c-d8bbc19bcc5c;16 Jahre;Alter von der Vollendung des 16. bis vor Vollendung des 17. Lebensjahres;16;16;16
e1937144-68e0-11ee-9d1c-d8bbc19bcc5c;17 Jahre;Alter von der Vollendung des 17. bis vor Vollendung des 18. Lebensjahres;17;17;17
e1938d6e-68e0-11ee-9d1c-d8bbc19bcc5c;18 Jahre;Alter von der Vollendung des 18. bis vor Vollendung des 19. Lebensjahres;18;18;18
e193ae16-68e0-11ee-9d1c-d8bbc19bcc5c;19 Jahre;Alter von der Vollendung des 19. bis vor Vollendung des 20. Lebensjahres;19;19;19
e193ca5e-68e0-11ee-9d1c-d8bbc19bcc5c;20 Jahre;Alter von der Vollendung des 20. bis vor Vollendung des 21. Lebensjahres;20;20;20
e193e688-68e0-11ee-9d1c-d8bbc19bcc5c;21 Jahre;Alter von der Vollendung des 21. bis vor Vollendung des 22. Lebensjahres;21;21;21
e1940294-68e0-11ee-9d1c-d8bbc19bcc5c;22 Jahre;Alter von der Vollendung des 22. bis vor Vollendung des 23. Lebensjahres;22;22;22
e1941ebe-68e0-11ee-9d1c-d8bbc19bcc5c;23 Jahre;Alter von der Vollendung des 23. bis vor Vollendung des 24. Lebensjahres;23;23;23
e1943ad4-68e0-11ee-9d1c-d8bbc19bcc5c;24 Jahre;Alter von der Vollendung des 24. bis vor Vollendung des 25. Lebensjahres;24;24;24
e1945744-68e0-11ee-9d1c-d8bbc19bcc5c;25 Jahre;Alter von der Vollendung des 25. bis vor Vollendung des 26. Lebensjahres;25;25;25
e1947328-68e0-11ee-9d1c-d8bbc19bcc5c;26 Jahre;Alter von der Vollendung des 26. bis vor Vollendung des 27. Lebensjahres;26;26;26
e1948f52-68e0-11ee-9d1c-d8bbc19bcc5c;27 Jahre;Alter von der Vollendung des 27. bis vor Vollendung des 28. Lebensjahres;27;27;27
e194ab5e-68e0-11ee-9d1c-d8bbc19bcc5c;28 Jahre;Alter von der Vollendung des 28. bis vor Vollendung des 29. Lebensjahres;28;28;28
e194c760-68e0-11ee-9d1c-d8bbc19bcc5c;29 Jahre;Alter von der Vollendung des 29. bis vor Vollendung des 30. Lebensjahres;29;29;29
e194e3b2-68e0-11ee-9d1c-d8bbc19bcc5c;30 Jahre;Alter von der Vollendung des 30. bis vor Vollendung des 31. Lebensjahres;30;30;30
e1950112-68e0-11ee-9d1c-d8bbc19bcc5c;31 Jahre;Alter von der Vollendung des 31. bis vor Vollendung des 32. Lebensjahres;31;31;31
e1951d32-68e0-11ee-9d1c-d8bbc19bcc5c;32 Jahre;Alter von der Vollendung des 32. bis vor Vollendung des 33. Lebensjahres;32;32;32
e1953920-68e0-11ee-9d1c-d8bbc19bcc5c;33 Jahre;Alter von der Vollendung des 33. bis vor Vollendung des 34. Lebensjahres;33;33;33
e1955540-68e0-11ee-9d1c-d8bbc19bcc5c;34 Jahre;Alter von der Vollendung des 34. bis vor Vollendung des 35. Lebensjahres;34;34;34
e1957192-68e0-11ee-9d1c-d8bbc19bcc5c;35 Jahre;Alter von der Vollendung des 35. bis vor Vollendung des 36. Lebensjahres;35;35;35
e1958df8-68e0-11ee-9d1c-d8bbc19bcc5c;36 Jahre;Alter von der Vollendung des 36. bis vor Vollendung des 37. Lebensjahres;36;36;36
e195aa04-68e0-11ee-9d1c-d8bbc19bcc5c;37 Jahre;Alter von der Vollendung des 37. bis vor Vollendung des 38. Lebensjahres;37;37;37
e195c610-68e0-11ee-9d1c-d8bbc19bcc5c;38 Jahre;Alter von der Vollendung des 38. bis vor Vollendung des 39. Lebensjahres;38;38;38
e195e244-68e0-11ee-9d1c-d8bbc19bcc5c;39 Jahre;Alter von der Vollendung des 39. bis vor Vollendung des 40. Lebensjahres;39;39;39
e195fe6e-68e0-11ee-9d1c-d8bbc19bcc5c;40 Jahre;Alter von der Vollendung des 40. bis vor Vollendung des 41. Lebensjahres;40;40;40
e1962362-68e0-11ee-9d1c-d8bbc19bcc5c;41 Jahre;Alter von der Vollendung des 41. bis vor Vollendung des 42. Lebensjahres;41;41;41
e1963f96-68e0-11ee-9d1c-d8bbc19bcc5c;42 Jahre;Alter von der Vollendung des 42. bis vor Vollendung des 43. Lebensjahres;42;42;42
e1965bd4-68e0-11ee-9d1c-d8bbc19bcc5c;43 Jahre;Alter von der Vollendung des 43. bis vor Vollendung des 44. Lebensjahres;43;43;43
e19677e0-68e0-11ee-9d1c-d8bbc19bcc5c;44 Jahre;Alter von der Vollendung des 44. bis vor Vollendung des 45. Lebensjahres;44;44;44
e19693f6-68e0-11ee-9d1c-d8bbc19bcc5c;45 Jahre;Alter von der Vollendung des 45. bis vor Vollendung des 46. Lebensjahres;45;45;45
e196aff8-68e0-11ee-9d1c-d8bbc19bcc5c;46 Jahre;Alter von der Vollendung des 46. bis vor Vollendung des 47. Lebensjahres;46;46;46
e196cc86-68e0-11ee-9d1c-d8bbc19bcc5c;47 Jahre;Alter von der Vollendung des 47. bis vor Vollendung des 48. Lebensjahres;47;47;47
e196ea36-68e0-11ee-9d1c-d8bbc19bcc5c;48 Jahre;Alter von der Vollendung des 48. bis vor Vollendung des 49. Lebensjahres;48;48;48
e1970638-68e0-11ee-9d1c-d8bbc19bcc5c;49 Jahre;Alter von der Vollendung des 49. bis vor Vollendung des 50. Lebensjahres;49;49;49
e197224e-68e0-11ee-9d1c-d8bbc19bcc5c;50 Jahre;Alter von der Vollendung des 50. bis vor Vollendung des 51. Lebensjahres;50;50;50
e1973e82-68e0-11ee-9d1c-d8bbc19bcc5c;51 Jahre;Alter von der Vollendung des 51. bis vor Vollendung des 52. Lebensjahres;51;51;51
e1976204-68e0-11ee-9d1c-d8bbc19bcc5c;52 Jahre;Alter von der Vollendung des 52. bis vor Vollendung des 53. Lebensjahres;52;52;52
e1977e60-68e0-11ee-9d1c-d8bbc19bcc5c;53 Jahre;Alter von der Vollendung des 53. bis vor Vollendung des 54. Lebensjahres;53;53;53
e1979a8a-68e0-11ee-9d1c-d8bbc19bcc5c;54 Jahre;Alter von der Vollendung des 54. bis vor Vollendung des 55. Lebensjahres;54;54;54
e197b6be-68e0-11ee-9d1c-d8bbc19bcc5c;55 Jahre;Alter von der Vollendung des 55. bis vor Vollendung des 56. Lebensjahres;55;55;55
e197d2b6-68e0-11ee-9d1c-d8bbc19bcc5c;56 Jahre;Alter von der Vollendung des 56. bis vor Vollendung des 57. Lebensjahres;56;56;56
e197ef26-68e0-11ee-9d1c-d8bbc19bcc5c;57 Jahre;Alter von der Vollendung des 57. bis vor Vollendung des 58. Lebensjahres;57;57;57
e1980b64-68e0-11ee-9d1c-d8bbc19bcc5c;58 Jahre;Alter von der Vollendung des 58. bis vor Vollendung des 59. Lebensjahres;58;58;58
e19827ac-68e0-11ee-9d1c-d8bbc19bcc5c;59 Jahre;Alter von der Vollendung des 59. bis vor Vollendung des 60. Lebensjahres;59;59;59
