uuid;geburtsDatum
e17c8600-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-01
e17ca41e-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-02
e17cc1a6-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-03
e17cdf60-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-04
e17cfd88-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-05
e17d1bc4-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-06
e17d39c4-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-07
e17d58c8-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-08
e17d766e-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-09
e17d9450-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-10
e17dba70-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-11
e17dd8fc-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-12
e17df742-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-13
e17e190c-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-14
e17e37c0-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-15
e17e56a6-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-16
e17e74f6-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-17
e17e9328-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-18
e17eb16e-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-19
e17ecfb4-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-20
e17eee2c-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-21
e17f0c54-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-22
e17f2ad6-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-23
e17f48b8-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-24
e17f66e0-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-25
e17f84fe-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-26
e17fa358-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-27
e17fc14e-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-28
e17fdf4e-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-29
e17ffd6c-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-30
e1801bf8-68e0-11ee-9d1c-d8bbc19bcc5c;1900-01-31
e1803c82-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-01
e1805ad2-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-02
e18078d2-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-03
e18096e6-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-04
e180b504-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-05
e180d408-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-06
e180f24e-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-07
e1811076-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-08
e1812ef8-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-09
e1814d0c-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-10
e1816b70-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-11
e1818948-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-12
e181a77a-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-13
e181c548-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-14
e181e302-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-15
e1820166-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-16
e1822146-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-17
e1823f3c-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-18
e1825d28-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-19
e1827b82-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-20
e182a2a6-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-21
e182c15a-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-22
e182df78-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-23
e182fdb4-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-24
e1831be6-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-25
e1833a90-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-26
e18358cc-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-27
e1837712-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-28
e183954e-68e0-11ee-9d1c-d8bbc19bcc5c;1900-02-29
e183b39e-68e0-11ee-9d1c-d8bbc19bcc5c;1900-03-01
